Year,Date,,Schl,Rk.,,Opp,Rk.,Outcome,,PTS,OPP,MOV,,OT
2017-18,2018-03-14,,Arizona State,,,Syracuse,,L,,56,60,-4,,
2017-18,2018-03-14,,Syracuse,,,Arizona State,,W,,60,56,4,,
2017-18,2018-03-13,,Long Island University,,,Radford,,L,,61,71,-10,,
2017-18,2018-03-13,,Radford,,,Long Island University,,W,,71,61,10,,
2017-18,2018-03-13,,St. Bonaventure,,,UCLA,,W,,65,58,7,,
2017-18,2018-03-13,,UCLA,,,St. Bonaventure,,L,,58,65,-7,,
2016-17,2017-04-03,,Gonzaga,2,,North Carolina,6,L,,65,71,-6,,
2016-17,2017-04-03,,North Carolina,6,,Gonzaga,2,W,,71,65,6,,
2016-17,2017-04-01,,Gonzaga,2,,South Carolina,,W,,77,73,4,,
2016-17,2017-04-01,,South Carolina,,,Gonzaga,2,L,,73,77,-4,,
2016-17,2017-04-01,,North Carolina,6,,Oregon,9,W,,77,76,1,,
2016-17,2017-04-01,,Oregon,9,,North Carolina,6,L,,76,77,-1,,
2016-17,2017-03-26,,Florida,20,,South Carolina,,L,,70,77,-7,,
2016-17,2017-03-26,,South Carolina,,,Florida,20,W,,77,70,7,,
2016-17,2017-03-26,,Kentucky,5,,North Carolina,6,L,,73,75,-2,,
2016-17,2017-03-26,,North Carolina,6,,Kentucky,5,W,,75,73,2,,
2016-17,2017-03-25,,Gonzaga,2,,Xavier,,W,,83,59,24,,
2016-17,2017-03-25,,Xavier,,,Gonzaga,2,L,,59,83,-24,,
2016-17,2017-03-25,,Kansas,3,,Oregon,9,L,,60,74,-14,,
2016-17,2017-03-25,,Oregon,9,,Kansas,3,W,,74,60,14,,
2016-17,2017-03-24,,Baylor,12,,South Carolina,,L,,50,70,-20,,
2016-17,2017-03-24,,South Carolina,,,Baylor,12,W,,70,50,20,,
2016-17,2017-03-24,,Florida,20,,Wisconsin,25,W,,84,83,1,,1
2016-17,2017-03-24,,Wisconsin,25,,Florida,20,L,,83,84,-1,,1
2016-17,2017-03-24,,Kentucky,5,,UCLA,8,W,,86,75,11,,
